Cause,Donor_Name,Amount,Donor_history,Donor_history_2,Donor_history_3
 Mental Health ,The Mind Clan,,"Endowed $270,000 to establish a community center providing holistic support for mental health.","Invested $310,000 in a startup developing blockchain technology for transparent agricultural supply chains.","Supported the expansion of a Lake Revival restoration project with a donation of $85,000."
 Mental Health ,Sanity Star,,"Sponsored a workshop with a donation of $280,000 focusing on mindfulness and stress reduction for mental wellness.","Supported agricultural advocacy with a grant of $320,000 to organizations promoting farmer rights.","Supported the publication of educational research with a grant of $20,000 to a scholarly journal."
Education,Lifeline Foundation,50000,"Donated $290,000 to support mental health first aid training programs for laypeople.","Contributed $330,000 to fund research on drought-resistant crops.","Contributed $25,000 to an innovation competition for startups developing educational apps."
Education,Mr Debashish Mukherji,11000,"Donated $200,000 to support education initiatives a year ago.","Donated $340,000 to establish a community-supported agriculture program.","Endowed $35,000 to establish a fellowship program for aspiring teachers."
Education,	Saraswati Education Trust,30000,"Supported the publication of educational research with a grant of $20,000 to a scholarly journal.","Invested around $400,000 in educational programs aimed at promoting literacy and numeracy.","Donated $45,000 to an educational awareness campaign promoting the importance of early childhood education."
Education,Rajeshkumar S.Shah,50000,"Invested $350,000 in a sports academy providing coaching and mentorship to young athletes.","Helped underprivileged children access education by donating $250,000 towards school scholarships.","Supported the expansion of a Lake Revival restoration project with a donation of $85,000."
Education,Kanchan Baa Education Trust,17000,"Supported sports education with a grant of $100,000 to a youth sports program.","Contributed $150,000 to support the development of educational infrastructure in rural areas.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts."
Education,Pannaben Pravinbhai Patel,100000,"Provided $75,000 in funding for sports clubs and leagues fostering community engagement.","Pledged $300,000 towards improving educational resources for students with special needs.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Education,Shree Dayanand Saraswati Education Trust,15000,"Endowed $80,000 to establish a fund for sports scholarships and grants.","Donated $50,000 to provide textbooks and learning materials for disadvantaged schools.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues."
Education,Mayank Raj,7200,"Supported the publication of educational research with a grant of $20,000 to a scholarly journal.","Invested $350,000 in a startup developing educational technology for remote learning.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts."
Education,Bhavini B Patel,50000,"Supported teacher training programs with a grant of $100,000 to enhance instructional quality.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Education,Bhaveshkumar M Patel,50000,"Provided $75,000 in funding for educational enrichment programs serving low-income communities.","Supported mental health education with a grant of $100,000 to a mental health awareness program.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues."
Education,J.N.Education Society,22700,"Endowed $80,000 to establish a scholarship fund for students from underrepresented backgrounds.","Provided $75,000 in funding for mental health support groups and peer counseling.","Endowed $160,000 to establish a research grant for university faculty."
Education,Kailash Chander Anand Charitable & Educational Society	,110000,"Sponsored a conference with a donation of $30,000 to facilitate professional development for educators.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Sponsored a seminar with a donation of $170,000 focusing on university innovation."
Education,Shree Monark Education Trust,25000,"Donated $40,000 to an educational outreach program providing STEM education to underserved youth.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Donated $180,000 to a university charity providing scholarships for disadvantaged students."
Education,Bhushan Patil,1000,"Supported the publication of educational research with a grant of $20,000 to a scholarly journal.","Endowed $160,000 to establish a research grant for university faculty.","Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education."
Education,Ajay Thakur,1000,"Contributed $25,000 to an innovation competition for startups developing educational apps.","Sponsored a seminar with a donation of $170,000 focusing on university innovation.","Donated $180,000 to a charity providing educational resources to children in refugee camps."
Education,Sharada Education Trust,25000,"Endowed $35,000 to establish a fellowship program for aspiring teachers.","Donated $180,000 to a university charity providing scholarships for disadvantaged students.","Invested $190,000 in a startup developing low-cost educational materials for developing countries."
Education,Indian American Education Foundation,146718,"Donated $45,000 to an educational awareness campaign promoting the importance of early childhood education.","Provided $75,000 in funding for mental health support groups and peer counseling.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts."
Education,Govindlal M Patel,25000,"Provided $55,000 in funding for mobile libraries bringing books to remote communities.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Education,Sonal Trading Co,25000,"Invested $65,000 in a technology startup focused on creating interactive educational content.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues."
Education,JSK,1000,"Donated $70,000 to sponsor a symposium bringing together leaders in education reform.","Endowed $160,000 to establish a research grant for university faculty.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts."
Education,Nafisa Parvez Buhariwalla,102000,"Supported the expansion of educational programs with a donation of $85,000.","Sponsored a seminar with a donation of $170,000 focusing on university innovation.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Education,Tata Trusts,2000000,"Invested $65,000 in a Lake Revival technology startup focused on monitoring lake health.","Donated $180,000 to a university charity providing scholarships for disadvantaged students.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues."
Education,Nalanda Foundation,1000000,"Donated $70,000 to sponsor a Lake Revival symposium bringing together experts in water conservation.","Helped improve access to education by donating $120,000 to build a school in a marginalized community.","Donated $200,000 to support mental health awareness initiatives last year."
Education,MacArthur Foundation,500000,"Supported the expansion of a Lake Revival restoration project with a donation of $85,000.","Invested $130,000 in a research institute focused on improving education policy.","Invested approximately $400,000 in programs aimed at promoting access to quality education."
Education,Navin Flourin Internation Limited,600000,"Contributed $95,000 to fund a Lake Revival documentary highlighting the importance of lake ecosystems.","Donated $140,000 to support advocacy efforts for equitable education funding.","Contributed $150,000 to fund clean energy projects for sustainable development."
Education,Gruh Finance Limited,100000,"Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief.","Provided $150,000 in funding for a program offering vocational training for at-risk youth.","Pledged $300,000 towards the advancement of women's rights and empowerment."
Education,Dr K.R Shroff Foundation,100000,"Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Donated $50,000 to provide humanitarian aid for refugees in crisis zones."
Education,One World Foundation,750000,"Sponsored a seminar with a donation of $170,000 focusing on innovative approaches to education.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Invested $190,000 in a startup providing renewable energy solutions for rural households."
Education,SBI Foundation,1000000,"Donated $180,000 to a charity providing educational resources to children in refugee camps.","Endowed $80,000 to establish a flood relief fund for rapid response and recovery.","Donated $140,000 to a rural charity providing microloans for entrepreneurs."
Education,Bajaj ,300000,"Invested $190,000 in a startup developing low-cost educational materials for developing countries.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies.","Invested $350,000 in a startup developing agricultural drones for precision farming."
Animal Welfare,Kotappakonda Environment Education Centre,400500,"Supported educational literacy with a grant of $200,000 to develop reading programs.","Helped improve flood response by donating $120,000 to train local volunteers in disaster management.","Invested $130,000 in a research institute focused on studying flood patterns and mitigation strategies."
Agriculture Development,Ushaben Atulkumar,20000,"Donated $200,000 to support agriculture development initiatives a year ago.","Invested $130,000 in a research institute focused on studying flood patterns and mitigation strategies.","Supported the expansion of agricultural cooperatives with a donation of $85,000."
Agriculture Development,Asharam khemchand Meghani,25000,"Invested around $400,000 in agricultural projects aimed at improving food security.","Donated $140,000 to support advocacy efforts for policy changes to address flood risks.","Contributed $95,000 to fund a documentary highlighting innovative agricultural practices."
Agriculture Development,Aneri Deepak Patel,50000,"Helped farmers increase their productivity by donating $250,000 towards agricultural training programs.","Provided $150,000 in funding for a program offering financial assistance to flood-affected households.","Helped improve access to farming resources by donating $120,000 to establish agricultural extension centers."
Agriculture Development,Moson Le Exparts,30000,"Contributed $150,000 to support the development of sustainable farming practices.","Endowed $160,000 to establish a scholarship fund for students studying flood management.","Invested $130,000 in a research institute focused on improving crop resilience."
Agriculture Development,Punit Devdutt Sood,100000,"Pledged $300,000 towards research and development of innovative agricultural technologies.","Donated $140,000 to a university charity providing scholarships for disadvantaged students.","Donated $140,000 to support advocacy efforts for policies promoting sustainable agriculture."
Agriculture Development,Keyur Machhavada,25000,"Donated $50,000 to provide seeds and tools for smallholder farmers.","Provided $150,000 in funding for a program offering microloans to small-scale farmers.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts."
Agriculture Development,Mona Shah,125000,"Invested $350,000 in a startup developing agricultural drones for precision farming.","Endowed $160,000 to establish a scholarship fund for students studying agricultural science.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Agriculture Development,Bina Chudgar,62500,"Supported agricultural education with a grant of $100,000 to a farming school.","Sponsored a seminar with a donation of $170,000 focusing on advancements in agricultural technology.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues."
Agriculture Development,NAB Visnagar,15000,"Provided $75,000 in funding for agricultural cooperatives empowering rural communities.","Donated $180,000 to a charity providing agricultural training to women farmers.","Invested $350,000 in a startup developing agricultural drones for precision farming."
Agriculture Development,Manish Kishan Gupta,30000,"Endowed $80,000 to establish a fund for agricultural innovation.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts.","Donated $45,000 to a healthcare awareness campaign aimed at promoting healthy living."
Agriculture Development,Hasmukhbhai Kantilal Shah,25000,"Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in agriculture.","Supported the expansion of a meals for needy people pantry with a donation of $85,000.","Provided $55,000 in funding for a healthcare mobile clinic serving remote areas."
Agriculture Development,Udayprabha Narendrabhai Patel,6000,"Donated $40,000 to an agricultural outreach program providing extension services to farmers.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues.","Invested $65,000 in a healthcare technology startup focused on patient monitoring."
Agriculture Development,K & K Expoters,25000,"Supported the publication of agricultural research with a grant of $20,000 to a scientific journal.","Donated $220,000 to establish a mentorship program for aspiring farmers.","Donated $70,000 to sponsor a healthcare symposium bringing together experts."
Agriculture Development,Kalavatiben Babulal Raval,100000,"Contributed $25,000 to an innovation competition for startups developing sustainable farming solutions.","Invested $230,000 in a research project exploring climate-smart agriculture.","Supported the expansion of a healthcare clinic with a donation of $85,000."
Agriculture Development,Ishwarsing Champawat,12000,"Endowed $35,000 to establish a fellowship program for young farmers.","Helped improve agricultural productivity by donating $240,000 to improve soil fertility.","Invested $190,000 in a startup providing renewable energy solutions for rural households."
Agriculture Development,Gujarat State Seeds Corporation Limited,8867000,"Donated $45,000 to an agricultural awareness campaign promoting the importance of sustainable farming.","Provided $260,000 in funding for agroforestry initiatives promoting sustainable land use.","Donated $140,000 to a rural charity providing microloans for entrepreneurs."
Agriculture Development,Hasmukhlal Chhotalal & Family,100000,"Provided $55,000 in funding for mobile soil testing labs reaching remote farming communities.","Endowed $270,000 to establish a community center providing holistic support for mental health.","Endowed $270,000 to establish a community seed bank preserving crop diversity."
Agriculture Development,Chatla Narsaiah Ramaiah,75000,"Invested $65,000 in a technology startup focused on developing agricultural apps for farmers.","Sponsored a workshop with a donation of $280,000 focusing on mindfulness and stress reduction for mental wellness.","Sponsored a workshop with a donation of $280,000 focusing on organic farming practices."
Agriculture Development,Roopal and Kokila Shah,87501,"Donated $70,000 to sponsor a symposium bringing together experts to discuss agricultural sustainability.","Donated $290,000 to support mental health first aid training programs for laypeople.","Donated $290,000 to support agricultural cooperatives marketing local produce."
Sports,Kapil Dev,1210000,"Donated $200,000 to support sports development initiatives a year ago.","Donated $220,000 to establish a mentorship program for refugee youth.","Invested $310,000 in a startup developing blockchain technology for transparent agricultural supply chains."
Sports,Steel Authority of India Limited,1000000,"Invested around $400,000 in sports programs aimed at promoting youth participation.","Invested $230,000 in a research project exploring the impact of climate change on humanitarian crises.","Supported agricultural advocacy with a grant of $320,000 to organizations promoting farmer rights."
Sports,Board of Control for Cricket in India,5000000,"Helped aspiring athletes by donating $250,000 towards training facilities and equipment.","Provided $260,000 in funding for humanitarian organizations advocating for policy change.","Contributed $330,000 to fund research on drought-resistant crops."
Sports,Oscar Foundation,125000,"Contributed $150,000 to support the development of sports infrastructure in underserved communities.","Endowed $270,000 to establish a humanitarian innovation lab for designing solutions.","Donated $340,000 to establish a community-supported agriculture program."
Sports,Khel Khel Mein Foundation,500000,"Pledged $300,000 towards research and development of innovative sports technologies.","Provided $55,000 in funding for mobile mental health clinics delivering services to underserved areas.","Provided $350,000 in funding for programs offering agricultural training to youth."
Sports,Victory Sports Foundation,75000,"Donated $50,000 to provide scholarships for talented athletes to pursue their dreams.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health.","Endowed $360,000 to establish a fund for agricultural innovation in developing countries."
Sports,Sanskriti Samvardhan Mandal,100000,"Invested $350,000 in a sports academy providing coaching and mentorship to young athletes.","Endowed $270,000 to establish a community center providing holistic support for mental health.","Sponsored a summit with a donation of $370,000 focusing on sustainable agriculture."
Sports,Virat Kohli Foundation,500000,"Supported sports education with a grant of $100,000 to a youth sports program.","Endowed $160,000 to establish a sports leadership program for young athletes.","Donated $45,000 to a healthcare awareness campaign aimed at promoting healthy living."
Sports,Megha Engineering Limited,45000,"Provided $75,000 in funding for sports clubs and leagues fostering community engagement.","Sponsored a seminar with a donation of $170,000 focusing on sports psychology and performance.","Provided $55,000 in funding for a healthcare mobile clinic serving remote areas."
Sports,Qwik Supply Chain,75000,"Endowed $80,000 to establish a fund for sports scholarships and grants.","Donated $180,000 to a charity providing sports equipment to schools and community centers.","Invested $65,000 in a healthcare technology startup focused on patient monitoring."
Sports,Sushmita Bagchee,100000,"Sponsored a sports conference with a donation of $30,000 to facilitate knowledge exchange.","Invested $190,000 in a startup developing inclusive sports programs for individuals with disabilities.","Donated $70,000 to sponsor a healthcare symposium bringing together experts."
Sports,VM Salgaoncar and Brothers,50000,"Donated $40,000 to a sports outreach program providing access to sports for underprivileged youth.","Supported sports literacy with a grant of $200,000 to develop educational materials on sports.","Supported the expansion of a healthcare clinic with a donation of $85,000."
Sports,Bajaj Group,100000,"Supported the publication of sports research with a grant of $20,000 to a scientific journal.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts.","Endowed $160,000 to establish a research grant for university faculty."
Sports,VS Dempo and Co,75000,"Contributed $25,000 to an innovation competition for startups developing sports equipment.","Supported the expansion of a meals for needy people pantry with a donation of $85,000.","Sponsored a seminar with a donation of $170,000 focusing on university innovation."
Sports,Haldia Energy,50000,"Endowed $35,000 to establish a scholarship program for promising young athletes.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues.","Donated $180,000 to a university charity providing scholarships for disadvantaged students."
Sports,CFTI,100000,"Donated $45,000 to a sports awareness campaign promoting healthy lifestyles and fitness.","Invested $350,000 in a sports academy providing coaching and mentorship to young athletes.","Supported sports education with a grant of $100,000 to a youth sports program."
Sports,Satya Special School,75000,"Provided $55,000 in funding for mobile sports clinics bringing sports programs to underserved areas.","Supported sports education with a grant of $100,000 to a youth sports program.","Provided $75,000 in funding for sports clubs and leagues fostering community engagement."
Sports,Rotary India,125000,"Invested $65,000 in a technology startup focused on developing sports analytics tools.","Provided $75,000 in funding for sports clubs and leagues fostering community engagement.","Endowed $80,000 to establish a fund for sports scholarships and grants."
Sports,CDOT,50000,"Donated $70,000 to sponsor a sports symposium bringing together experts in the field.","Endowed $80,000 to establish a fund for sports scholarships and grants.","Sponsored a sports conference with a donation of $30,000 to facilitate knowledge exchange."
Sports,Coorgs Foundation,50000,"Supported the expansion of sports facilities with a donation of $85,000.","Donated $45,000 to a healthcare awareness campaign aimed at promoting healthy living.","Donated $40,000 to a sports outreach program providing access to sports for underprivileged youth."
Sports,Lions Health Foundation,75000,"Contributed $95,000 to fund a documentary highlighting inspiring sports stories.","Provided $55,000 in funding for a healthcare mobile clinic serving remote areas.","Supported the publication of sports research with a grant of $20,000 to a scientific journal."
Sports,AIFF,100000,"Helped improve access to sports facilities by donating $120,000 to build a community sports center.","Invested $65,000 in a healthcare technology startup focused on patient monitoring.","Contributed $25,000 to an innovation competition for startups developing sports equipment."
Sports,Lakshya,75000,"Invested $130,000 in a research institute focused on sports medicine and performance.","Donated $70,000 to sponsor a healthcare symposium bringing together experts.","Endowed $35,000 to establish a scholarship program for promising young athletes."
Sports,Arpinder Singh,50000,"Donated $140,000 to support advocacy efforts for equitable access to sports programs.","Supported the expansion of a healthcare clinic with a donation of $85,000.","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts."
Sports,Amit Kumar,25000,"Provided $150,000 in funding for a program offering sports scholarships to student-athletes.","Donated $140,000 to support advocacy efforts for policy changes to address flood risks.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Religious and Spiritual Cause,Dilip Kumar V Lakhi,,"Donated $70,000 to sponsor a religious retreat or pilgrimage for spiritual seekers.","Provided $150,000 in funding for a program offering financial assistance to flood-affected households.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues."
Religious and Spiritual Cause,Morari Bapu,,"Supported the expansion of religious community centers with a donation of $85,000.","Endowed $160,000 to establish a scholarship fund for students studying flood management.","Provided $75,000 in funding for humanitarian organizations delivering aid to conflict zones."
Religious and Spiritual Cause,Govindbhai Dholakia,,"Contributed $95,000 to fund a documentary highlighting the role of religion in promoting social justice.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief.","Provided $75,000 in funding for mental health support groups and peer counseling."
Religious and Spiritual Cause,Patna Mahavir Mandir,,"Helped individuals deepen their faith by donating $120,000 to establish a religious study group or class.","Invested $310,000 in a startup developing technology for digitizing religious texts and scriptures.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness."
Religious and Spiritual Cause,Mahesh Kabutarwala of Swiss Glascoat Equipments,,"Invested $130,000 in a research institute focused on studying the intersection of religion and society.","Supported religious advocacy with a grant of $320,000 to organizations promoting religious tolerance.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health."
Religious and Spiritual Cause,Ambani family,,"Donated $140,000 to support advocacy efforts for religious freedom and human rights.","Contributed $330,000 to fund research on the history and philosophy of religion.","Helped improve flood response by donating $120,000 to train local volunteers in disaster management."
Religious and Spiritual Cause,WS Habeeb,,"Provided $150,000 in funding for a program offering spiritual counseling and guidance.","Donated $340,000 to establish a community center providing spiritual support and counseling.","Invested $130,000 in a research institute focused on studying flood patterns and mitigation strategies."
Religious and Spiritual Cause,Lavji Badshah,,"Endowed $160,000 to establish a scholarship fund for students studying theology or religious studies.","Provided $350,000 in funding for programs offering religious education and leadership training.","Donated $140,000 to support advocacy efforts for policy changes to address flood risks."
Religious and Spiritual Cause,Prakash Gupta,,"Sponsored a seminar with a donation of $170,000 focusing on religious ethics and morality.","Endowed $360,000 to establish a fund for supporting religious missions and outreach.","Provided $150,000 in funding for a program offering financial assistance to flood-affected households."
Religious and Spiritual Cause,"Jain Community, Mumbai",,"Donated $180,000 to a charity providing religious services and support for refugees and migrants.","Sponsored a summit with a donation of $370,000 focusing on religious dialogue and peacebuilding.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Religious and Spiritual Cause,Infosys Foundation,,"Invested $190,000 in a startup developing technology for virtual religious gatherings and worship.","Endowed $160,000 to establish a research grant for university faculty.","Invested $310,000 in a startup developing technology for digitizing religious texts and scriptures."
Religious and Spiritual Cause,Akshay Kumar ,,"Supported religious literacy with a grant of $200,000 to develop educational materials on various faith traditions.","Sponsored a seminar with a donation of $170,000 focusing on university innovation.","Donated $290,000 to support religious retreats and conferences promoting spiritual growth."
Religious and Spiritual Cause,Vijay Shekar Sharma,,"Contributed $210,000 to fund a hotline providing spiritual guidance and counseling.","Donated $180,000 to a university charity providing scholarships for disadvantaged students.","Invested $310,000 in a startup developing technology for digitizing religious texts and scriptures."
Religious and Spiritual Cause,Sajjan Jindal,,"Donated $220,000 to establish a mentorship program for young people exploring their faith.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Supported religious advocacy with a grant of $320,000 to organizations promoting religious tolerance."
Religious and Spiritual Cause,Adi Godrej,,"Invested $230,000 in a research project exploring the role of religion in promoting peace and reconciliation.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Contributed $330,000 to fund research on the history and philosophy of religion."
Religious and Spiritual Cause,Kiran Mazumdar-Shaw,,"Helped individuals connect with their spiritual heritage by donating $240,000 to preserve religious artifacts and sites.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Donated $340,000 to establish a community center providing spiritual support and counseling."
Religious and Spiritual Cause,Anand Burman,,"Provided $260,000 in funding for religious music and arts programs fostering cultural expression.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Provided $350,000 in funding for programs offering religious education and leadership training."
Religious and Spiritual Cause,Radhakishan Damani,,"Endowed $270,000 to establish a religious community garden promoting environmental stewardship.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Endowed $360,000 to establish a fund for supporting religious missions and outreach."
Religious and Spiritual Cause,Karsanbhai Patel ,,"Sponsored a workshop with a donation of $280,000 focusing on spiritual practices and mindfulness.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Endowed $80,000 to establish a fund for sports scholarships and grants."
Religious and Spiritual Cause,Rajesh Mehta,,"Donated $290,000 to support religious retreats and conferences promoting spiritual growth.","Provided $75,000 in funding for humanitarian organizations delivering aid to conflict zones.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions."
Religious and Spiritual Cause,Subhash Chandra,,"Invested $310,000 in a startup developing technology for digitizing religious texts and scriptures.","Donated $290,000 to support religious retreats and conferences promoting spiritual growth.","Contributed $25,000 to an innovation competition for startups developing mental health technologies."
Religious and Spiritual Cause,Cyrus Poonawala,,"Supported religious advocacy with a grant of $320,000 to organizations promoting religious tolerance.","Invested $310,000 in a startup developing technology for digitizing religious texts and scriptures.","Endowed $35,000 to establish a fellowship program for professionals specializing in mental health care."
Religious and Spiritual Cause,Kumar Mangalam Birla,,"Contributed $330,000 to fund research on the history and philosophy of religion.","Supported religious advocacy with a grant of $320,000 to organizations promoting religious tolerance.","Endowed $35,000 to establish a fellowship program for blind people pursuing entrepreneurship."
Religious and Spiritual Cause,Tata Sons,,"Donated $340,000 to establish a community center providing spiritual support and counseling.","Contributed $330,000 to fund research on the history and philosophy of religion.","Endowed $160,000 to establish a scholarship fund for students studying flood management."
Health,Wellcome Trust,"$100,000","Donated $200,000 to advance healthcare research a year ago.","Donated $340,000 to establish a community center providing spiritual support and counseling.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief."
Health,"Science and Engineering Research Board (SERB), DST, GoI","$100,000","Invested around $400,000 in a healthcare initiative focused on rural communities.","Provided $350,000 in funding for programs offering religious education and leadership training.","Donated $50,000 to provide vocational training for rural youth."
Health,MMTC Ltd,"$100,000","Donated $70,000 to sponsor a meals for needy people symposium bringing together experts.","Endowed $360,000 to establish a fund for supporting religious missions and outreach.","Endowed $80,000 to establish a fund for small business development in rural areas."
Health,Deepak Foundation,"$100,000","Supported the expansion of a meals for needy people pantry with a donation of $85,000.","Sponsored a summit with a donation of $370,000 focusing on religious dialogue and peacebuilding.","Sponsored a rural development conference with a donation of $30,000 to address local challenges."
Health,Sir Dorabji Trust,"$100,000","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues.","Supported the expansion of a Lake Revival restoration project with a donation of $85,000.","Invested $230,000 in a research project exploring alternative therapies for mental health conditions."
Health,Bill & Melinda Gates Foundation,"$100,000","Provided $75,000 in funding for mental health support groups and peer counseling.","Donated $50,000 to provide healthcare scholarships for aspiring nurses.","Helped combat loneliness by donating $240,000 to initiatives fostering social connections for those with mental illness."
Health,Nand & Jeet Khemka Foundation,"$100,000","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Invested $350,000 in a healthcare startup developing telemedicine solutions.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health."
Health,Infosys Foundation,"$100,000","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Supported healthcare education with a grant of $100,000 to a medical school.","Supported the expansion of a meals for needy people pantry with a donation of $85,000."
Health,HT Parekh Foundation,"$100,000","Helped improve flood response by donating $120,000 to train local volunteers in disaster management.","Provided $75,000 in funding for healthcare clinics serving low-income families.","Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues."
Health,Amar Foundation,"$100,000","Invested $130,000 in a research institute focused on studying flood patterns and mitigation strategies.","Endowed $80,000 to establish a healthcare research fund at a renowned university.","Provided $75,000 in funding for mental health support groups and peer counseling."
Health,American India Foundation,"$50,000","Donated $140,000 to support advocacy efforts for policy changes to address flood risks.","Sponsored a healthcare conference with a donation of $30,000 to facilitate knowledge exchange.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness."
Health,Friends of ISB Foundation,"$50,000","Provided $150,000 in funding for a program offering financial assistance to flood-affected households.","Donated $40,000 to a healthcare outreach program for mental health awareness.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health."
Health,Give2Asia/Deshpande Foundation,"$50,000","Endowed $160,000 to establish a scholarship fund for students studying flood management.","Endowed $160,000 to establish a research grant for university faculty.","Helped improve flood response by donating $120,000 to train local volunteers in disaster management."
Health,Spandana Foundation,"$50,000","Contributed $25,000 to a healthcare innovation competition for startups.","Sponsored a seminar with a donation of $170,000 focusing on university innovation.","Invested $130,000 in a research institute focused on studying flood patterns and mitigation strategies."
Health,HCL Corporation,"$50,000","Endowed $35,000 to establish a healthcare fellowship for young professionals.","Donated $180,000 to a university charity providing scholarships for disadvantaged students.","Donated $140,000 to support advocacy efforts for policy changes to address flood risks."
Health,Ms Rohini Nilekani,"$10,000","Donated $45,000 to a healthcare awareness campaign aimed at promoting healthy living.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief.","Provided $150,000 in funding for a program offering financial assistance to flood-affected households."
Health,AKM Systems Pvt. Ltd,"$10,000","Provided $55,000 in funding for a healthcare mobile clinic serving remote areas.","Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities.","Endowed $80,000 to establish a fund for sports scholarships and grants."
Health,Ranbaxy Promoter Group,"$10,000","Invested $65,000 in a healthcare technology startup focused on patient monitoring.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions."
Health,Reliance Industries,"$10,000","Donated $70,000 to sponsor a healthcare symposium bringing together experts.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Contributed $25,000 to an innovation competition for startups developing mental health technologies."
Health,GMR Projects Pvt. Ltd,"$10,000","Supported the expansion of a healthcare clinic with a donation of $85,000.","Supported mental health education with a grant of $100,000 to a mental health awareness program.","Endowed $35,000 to establish a fellowship program for professionals specializing in mental health care."
Health,GVK Power and Infrastructure Ltd,"$10,000","Endowed $160,000 to establish a research grant for university faculty.","Provided $75,000 in funding for mental health support groups and peer counseling.","Endowed $35,000 to establish a fellowship program for blind people pursuing entrepreneurship."
Health,Dr.Mangal Katikineni,"$10,000","Sponsored a seminar with a donation of $170,000 focusing on university innovation.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Helped improve healthcare access by donating $120,000 to build a community health center."
Health,Dr. Anil Tulpule ,"$5,000","Donated $180,000 to a university charity providing scholarships for disadvantaged students.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Invested $130,000 in a healthcare research institute focused on cancer treatments."
Health,Dr. M K Mohan,"$5,000","Endowed $160,000 to establish a research grant for university faculty.","Donated $40,000 to a mental health outreach program providing community workshops.","Donated $140,000 to support healthcare advocacy efforts for marginalized communities."
Health,Mr. Hari Bugganna,"$5,000","Sponsored a seminar with a donation of $170,000 focusing on university innovation.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions.","Provided $150,000 in funding for a healthcare program offering free screenings."
